Press CTRL-C to stop.
         495696 function calls (481712 primitive calls) in 108.600 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.003    0.000    0.115    0.019 gzip.py:295(read)
       77    0.003    0.000    0.013    0.000 core.py:2268(__init__)
      241    0.003    0.000    0.003    0.000 sre_compile.py:453(_get_iscased)
        6    0.002    0.000    0.009    0.001 credentials.py:101(apply)
      368    0.002    0.000    0.002    0.000 inspect.py:2886(return_annotation)
      181    0.002    0.000    0.028    0.000 abc.py:89(register)
       37    0.002    0.000    0.004    0.000 enum.py:537(_check_for_existing_members)
        1    0.002    0.002    0.065    0.065 _header_value_parser.py:1(<module>)
        6    0.002    0.000    0.009    0.002 ImageDraw.py:670(Draw)
        1    0.002    0.002    0.009    0.009 ctypeslib.py:376(<dictcomp>)
        1    0.002    0.002    0.017    0.017 TiffTags.py:20(<module>)
        1    0.002    0.002    0.003    0.003 response.py:369(_init_decoder)
        4    0.002    0.001    0.005    0.001 message.py:497(get_all)
        1    0.002    0.002    0.004    0.004 encode_asn1.py:5(<module>)
        7    0.002    0.000    0.028    0.004 structures.py:42(__init__)
        1    0.002    0.002    0.003    0.003 core.py:2708(MaskedArray)
        1    0.002    0.002    0.004    0.004 message.py:213(get_payload)
      103    0.002    0.000    0.002    0.000 {method 'popleft' of 'collections.deque' objects}
       24    0.002    0.000    0.010    0.000 core.py:2917(__init__)
      146    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
        4    0.002    0.001    0.002    0.001 {method 'count' of 'bytes' objects}
       48    0.002    0.000    0.027    0.001 __init__.py:2030(getLogger)
        7    0.002    0.000    0.005    0.001 variable.py:79(parse)
        7    0.002    0.000    0.002    0.000 variable.py:410(_encode)
        1    0.002    0.002    0.114    0.114 linalg.py:1(<module>)
       19    0.002    0.000    0.014    0.001 ipaddress.py:1462(__init__)
        1    0.002    0.002    0.005    0.005 ssl.py:324(_inet_paton)
       43    0.002    0.000    0.010    0.000 ipaddress.py:1875(__init__)
        6    0.002    0.000    0.005    0.001 enum.py:988(_decompose)
        1    0.002    0.002    0.016    0.016 pickle.py:197(<listcomp>)
       37    0.002    0.000    0.002    0.000 enum.py:197(<dictcomp>)
        7    0.002    0.000    0.070    0.010 client.py:942(send)
       62    0.002    0.000    0.003    0.000 __init__.py:24(__new__)
       20    0.002    0.000    0.023    0.001 core.py:264(_trim_arity)
        2    0.002    0.001    0.058    0.029 polynomial.py:1(<module>)
        1    0.002    0.002    0.022    0.022 _type_aliases.py:1(<module>)
      230    0.002    0.000    0.003    0.000 core.py:3616(<genexpr>)
      121    0.002    0.000    0.012    0.000 core.py:1917(__eq__)
        1    0.002    0.002    0.029    0.029 oid.py:5(<module>)
    25/18    0.002    0.000    0.806    0.045 <frozen importlib._bootstrap>:415(spec_from_loader)
        7    0.002    0.000   15.414    2.202 discovery.py:1315(__init__)
       27    0.002    0.000    0.002    0.000 {method '__enter__' of '_thread.lock' objects}
        2    0.002    0.001    0.003    0.001 client.py:819(__init__)
        5    0.002    0.000    0.134    0.027 base.py:2(<module>)
        2    0.002    0.001    0.004    0.002 {method 'read' of '_io.TextIOWrapper' objects}
       30    0.002    0.000    0.002    0.000 {method 'read' of '_io.BytesIO' objects}
     20/8    0.002    0.000    0.037    0.005 core.py:4108(parseImpl)
        3    0.002    0.001    0.092    0.031 request.py:1(<module>)
      166    0.002    0.000    0.002    0.000 utils.py:43(register_interface)
        7    0.002    0.000    0.003    0.000 socket.py:767(close)
       99    0.002    0.000    0.002    0.000 {method 'translate' of 'str' objects}
        2    0.002    0.001    0.052    0.026 hashes.py:5(<module>)
       12    0.002    0.000    0.009    0.001 url.py:302(_idna_encode)
       19    0.002    0.000    0.006    0.000 {function SocketIO.close at 0xb6456580}
       20    0.002    0.000    0.003    0.000 {method 'sort' of 'list' objects}
        1    0.002    0.002    0.019    0.019 datetime.py:1(<module>)
        1    0.002    0.002    0.026    0.026 ssl_.py:250(create_urllib3_context)
       21    0.002    0.000    0.004    0.000 sre_parse.py:267(getuntil)
       60    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
      228    0.002    0.000    0.002    0.000 {built-in method builtins.max}
        6    0.002    0.000    0.003    0.000 _compression.py:59(close)
        1    0.002    0.002    0.015    0.015 arrayprint.py:1(<module>)
        1    0.002    0.002    1.134    1.134 connectionpool.py:1(<module>)
       47    0.002    0.000    0.005    0.000 ipaddress.py:535(_split_addr_prefix)
        1    0.002    0.002    0.004    0.004 quoprimime.py:5(<module>)
      276    0.002    0.000    0.002    0.000 typing.py:726(<genexpr>)
       18    0.002    0.000    0.022    0.001 typing.py:815(__getitem__)
    30/25    0.002    0.000    0.219    0.009 <frozen importlib._bootstrap_external>:1114(exec_module)
       90    0.002    0.000    0.002    0.000 _inspect.py:131(strseq)
        6    0.002    0.000    0.003    0.001 _compression.py:39(__init__)
        1    0.002    0.002    0.003    0.003 _compat_pickle.py:9(<module>)
        1    0.002    0.002    0.002    0.002 zipfile.py:1102(_ZipWriteFile)
        6    0.002    0.000    0.040    0.007 model.py:197(response)
      132    0.002    0.000    0.002    0.000 {built-in method builtins.repr}
        1    0.002    0.002    0.049    0.049 core.py:402(ParserElement)
        1    0.002    0.002    0.002    0.002 uri_validate.py:1(<module>)
        1    0.002    0.002    0.006    0.006 _type_aliases.py:114(_add_aliases)
        7    0.002    0.000    0.006    0.001 utils.py:293(to_key_val_list)
       34    0.002    0.000    0.029    0.001 typing.py:824(copy_with)
        1    0.002    0.002    0.215    0.215 ssl.py:4(<module>)
      202    0.002    0.000    0.003    0.000 utils.py:40(<lambda>)
        4    0.002    0.000    0.015    0.004 url.py:274(_normalize_host)
        1    0.002    0.002    0.011    0.011 extras.py:1(<module>)
        1    0.002    0.002    0.002    0.002 datetime.py:1594(datetime)
        2    0.002    0.001    0.342    0.171 common.py:2(<module>)
       26    0.002    0.000    0.018    0.001 core.py:6755(getdoc)
       64    0.002    0.000    0.002    0.000 __init__.py:223(_releaseLock)
        1    0.002    0.002    0.002    0.002 __init__.py:46(Cache)
       44    0.002    0.000    0.021    0.000 core.py:138(get_object_signature)
        2    0.002    0.001    0.002    0.001 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       18    0.002    0.000    0.002    0.000 {built-in method zlib.crc32}
       37    0.002    0.000    0.002    0.000 enum.py:81(__init__)
   125/36    0.002    0.000    0.025    0.001 core.py:1864(__str__)
       47    0.002    0.000    0.002    0.000 ssl.py:1078(_checkClosed)
        2    0.002    0.001    0.002    0.001 {method 'setsockopt' of '_socket.socket' objects}
       20    0.002    0.000    0.015    0.001 core.py:2986(parseImpl)
       12    0.002    0.000    0.003    0.000 gzip.py:409(_init_read)
        1    0.002    0.002    0.052    0.052 npyio.py:1(<module>)
       50    0.002    0.000    0.002    0.000 core.py:1846(set_name)
        1    0.002    0.002    0.871    0.871 utils.py:3(<module>)
        1    0.002    0.002    0.078    0.078 Image.py:27(<module>)
        7    0.002    0.000    0.006    0.001 credentials.py:55(expired)
        5    0.002    0.000    0.002    0.000 socket.py:220(__init__)
        6    0.002    0.000    0.003    0.000 gzip.py:513(_add_read_data)
       16    0.002    0.000    0.021    0.001 typing.py:892(__getitem__)
     10/2    0.002    0.000    0.045    0.022 core.py:3861(parseImpl)
        6    0.002    0.000    0.003    0.001 __init__.py:203(parse_uri)
       17    0.002    0.000    0.140    0.008 core.py:4084(__init__)
      189    0.002    0.000    0.002    0.000 status_codes.py:115(<genexpr>)
       30    0.002    0.000    0.005    0.000 codecs.py:319(decode)
        6    0.002    0.000    0.039    0.007 __init__.py:260(_normalize_headers)
        1    0.002    0.002    0.006    0.006 _collections.py:231(extend)
       15    0.002    0.000    0.002    0.000 copyreg.py:103(_slotnames)
       77    0.002    0.000    0.003    0.000 signal.py:10(<lambda>)
        7    0.002    0.000    0.002    0.000 orderedset.py:40(add)
        1    0.002    0.002    0.341    0.341 characters.py:9(__init__)
        1    0.002    0.002    0.151    0.151 __init__.py:17(<module>)
       28    0.002    0.000    0.002    0.000 sre_compile.py:432(_generate_overlap_table)
      154    0.002    0.000    0.003    0.000 typing.py:733(__eq__)
        1    0.002    0.002    0.002    0.002 unicode.py:111(<listcomp>)
        7    0.002    0.000    0.074    0.011 feedparser.py:184(close)
        1    0.002    0.002    0.133    0.133 mbcsgroupprober.py:30(<module>)
        1    0.002    0.002    0.033    0.033 response.py:581(from_httplib)
      257    0.002    0.000    0.002    0.000 hmac.py:19(<genexpr>)
        1    0.002    0.002    0.445    0.445 __init__.py:1093(connect)
        4    0.002    0.000    0.271    0.068 utils.py:5(<module>)
        2    0.002    0.001    1.051    0.525 connection.py:1(<module>)
      113    0.002    0.000    0.013    0.000 typing.py:456(<genexpr>)
      257    0.002    0.000    0.002    0.000 hmac.py:18(<genexpr>)
        7    0.002    0.000    0.326    0.047 client.py:447(read)
        3    0.002    0.001    0.002    0.001 retry.py:225(__init__)
       67    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       10    0.002    0.000    0.033    0.003 Image.py:2598(new)
      281    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
        1    0.002    0.002    0.041    0.041 connection.py:203(putrequest)
        1    0.002    0.002    0.002    0.002 defchararray.py:1805(chararray)
        1    0.002    0.002    0.002    0.002 sessions.py:337(Session)
      362    0.002    0.000    0.002    0.000 {built-in method builtins.globals}
       12    0.002    0.000    0.005    0.000 gzip.py:413(_read_exact)
      160    0.002    0.000    0.002    0.000 core.py:1702(leave_whitespace)
       27    0.002    0.000    0.004    0.000 threading.py:259(__exit__)
       15    0.002    0.000    0.025    0.002 core.py:597(set_parse_action)
        2    0.002    0.001    0.004    0.002 _policybase.py:99(_extend_docstrings)
        3    0.002    0.001    0.002    0.001 url.py:244(_remove_path_dot_segments)
        2    0.002    0.001    0.012    0.006 cookies.py:118(extract_cookies_to_jar)
       14    0.002    0.000    0.002    0.000 feedparser.py:122(pushlines)
       14    0.002    0.000    0.002    0.000 {method 'read' of '_io.StringIO' objects}
       30    0.002    0.000    0.003    0.000 getlimits.py:25(_fr1)
        1    0.002    0.002    0.002    0.002 oauth2_session.py:19(OAuth2Session)
        2    0.002    0.001    0.158    0.079 ocsp.py:5(<module>)
       47    0.002    0.000    0.002    0.000 ipaddress.py:158(_split_optional_netmask)
        7    0.002    0.000    0.039    0.006 variable.py:416(quote)
     27/6    0.002    0.000    0.055    0.009 core.py:4409(streamline)
        6    0.002    0.000    0.002    0.000 client.py:529(_read_and_discard_trailer)
        1    0.002    0.002    0.014    0.014 ElementTree.py:1334(XML)
     13/6    0.002    0.000    0.037    0.006 core.py:4092(streamline)
        1    0.002    0.002    0.031    0.031 response.py:481(read)
        9    0.002    0.000    0.009    0.001 parse.py:497(urlunsplit)
        1    0.002    0.002    1.311    1.311 auth.py:1(<module>)
        3    0.002    0.001    0.007    0.002 posixpath.py:228(expanduser)
       30    0.002    0.000    0.002    0.000 getlimits.py:17(_fr0)
       12    0.002    0.000    0.002    0.000 {method 'values' of 'collections.OrderedDict' objects}
        1    0.002    0.002    0.070    0.070 x509.py:5(<module>)
        1    0.001    0.001    0.002    0.002 ssl.py:971(SSLSocket)
        1    0.001    0.001    0.001    0.001 quoprimime.py:55(<listcomp>)
        1    0.001    0.001    0.280    0.280 index_tricks.py:1(<module>)
       10    0.001    0.000    0.002    0.000 connection.py:218(<genexpr>)
        1    0.001    0.001    0.001    0.001 _appengine_environ.py:1(<module>)
        2    0.001    0.001    0.083    0.041 dsa.py:5(<module>)
        1    0.001    0.001    0.082    0.082 core.py:5798(<listcomp>)
        1    0.001    0.001    0.061    0.061 models.py:3(<module>)
        1    0.001    0.001    0.037    0.037 modes.py:5(<module>)
        2    0.001    0.001    0.142    0.071 exceptions.py:3(<module>)
        1    0.001    0.001    2.933    2.933 adapters.py:394(send)
        1    0.001    0.001    0.002    0.002 _string_helpers.py:9(<listcomp>)
      134    0.001    0.000    0.001    0.000 six.py:93(__init__)
        1    0.001    0.001    0.045    0.045 type_check.py:1(<module>)
      122    0.001    0.000    0.002    0.000 ssl.py:124(<lambda>)
       21    0.001    0.000    0.006    0.000 _helpers.py:111(positional_decorator)
       13    0.001    0.000    0.001    0.000 {method 'cast' of 'memoryview' objects}
        1    0.001    0.001    0.002    0.002 poolmanager.py:78(_default_key_normalizer)
       11    0.001    0.000    0.002    0.000 queue.py:21(_get)
       13    0.001    0.000    0.017    0.001 typing.py:877(__getitem_inner__)
        1    0.001    0.001    0.040    0.040 nanfunctions.py:1(<module>)
        7    0.001    0.000    0.043    0.006 ssl.py:1166(send)
      136    0.001    0.000    0.001    0.000 {built-in method sys.intern}
        1    0.001    0.001    0.003    0.003 decode_asn1.py:5(<module>)
       14    0.001    0.000    0.002    0.000 __init__.py:142(_check_size)
       68    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.001    0.001    0.001    0.001 threading.py:216(Condition)
       28    0.001    0.000    0.003    0.000 ipaddress.py:1583(_make_netmask)
        1    0.001    0.001    0.044    0.044 _pocketfft.py:1(<module>)
        1    0.001    0.001    0.002    0.002 ipaddress.py:1869(IPv6Address)
       46    0.001    0.000    0.002    0.000 six.py:110(__init__)
       34    0.001    0.000    0.004    0.000 typing.py:209(_deduplicate)
      122    0.001    0.000    0.002    0.000 ssl.py:144(<lambda>)
       64    0.001    0.000    0.002    0.000 __init__.py:214(_acquireLock)
        1    0.001    0.001    0.008    0.008 helpers.py:1058(<listcomp>)
        1    0.001    0.001    3.349    3.349 __init__.py:1055(__init__)
       12    0.001    0.000    0.002    0.000 <string>:1(<lambda>)
        4    0.001    0.000    0.002    0.000 cookiejar.py:1258(__init__)
       17    0.001    0.000    0.016    0.001 core.py:3903(_generateDefaultName)
        6    0.001    0.000    0.041    0.007 __init__.py:1489(_normalize_headers)
      122    0.001    0.000    0.002    0.000 ssl.py:134(<lambda>)
        1    0.001    0.001    0.139    0.139 connection.py:226(request)
        7    0.001    0.000    0.001    0.000 orderedset.py:27(__init__)
        7    0.001    0.000    0.002    0.000 client.py:1186(_validate_method)
        1    0.001    0.001    0.852    0.852 url.py:1(<module>)
       26    0.001    0.000    0.007    0.000 core.py:922(__init__)
       15    0.001    0.000    0.003    0.000 arrayprint.py:461(wrapper)
      122    0.001    0.000    0.002    0.000 ssl.py:149(<lambda>)
        1    0.001    0.001    0.041    0.041 connectionpool.py:168(__init__)
       16    0.001    0.000    0.002    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      122    0.001    0.000    0.002    0.000 ssl.py:139(<lambda>)
       60    0.001    0.000    0.002    0.000 core.py:759(preParse)
        4    0.001    0.000    0.002    0.000 timeout.py:102(__init__)
        7    0.001    0.000    2.457    0.351 __init__.py:15(<module>)
      122    0.001    0.000    0.002    0.000 ssl.py:129(<lambda>)
        1    0.001    0.001    0.075    0.075 shutil.py:1(<module>)
        3    0.001    0.000    0.113    0.038 threading.py:280(wait)
        1    0.001    0.001    2.249    2.249 connectionpool.py:1004(_validate_conn)
       16    0.001    0.000    0.004    0.000 _type_aliases.py:78(bitname)
        1    0.001    0.001    0.046    0.046 pickle.py:1(<module>)
        1    0.001    0.001    0.027    0.027 sessions.py:3(<module>)
        2    0.001    0.001    0.059    0.030 rsa.py:5(<module>)
        2    0.001    0.001    0.135    0.068 _collections.py:92(clear)
       53    0.001    0.000    0.001    0.000 six.py:182(_add_module)
       28    0.001    0.000    0.001    0.000 {method 'seek' of '_io.StringIO' objects}
        1    0.001    0.001    0.001    0.001 {built-in method _socket.inet_pton}
        1    0.001    0.001    0.236    0.236 cookiejar.py:1(<module>)
        1    0.001    0.001    0.028    0.028 twodim_base.py:1(<module>)
        1    0.001    0.001    0.001    0.001 extensions.py:704(CertificatePolicies)
        1    0.001    0.001    0.225    0.225 ssh.py:5(<module>)
        1    0.001    0.001    0.140    0.140 sessions.py:701(merge_environment_settings)
       14    0.001    0.000    0.029    0.002 typing.py:462(Optional)
        1    0.001    0.001    0.051    0.051 helpers.py:589(_makeTags)
        1    0.001    0.001    0.002    0.002 backend.py:374(_register_default_ciphers)
        7    0.001    0.000    0.006    0.001 variable.py:54(__init__)
       59    0.001    0.000    0.014    0.000 core.py:3904(<genexpr>)
        3    0.001    0.000    0.018    0.006 response.py:1(<module>)
       30    0.001    0.000    0.008    0.000 ipaddress.py:1269(__init__)
        7    0.001    0.000    0.004    0.001 _helpers.py:67(utcnow)
        1    0.001    0.001    0.001    0.001 stringprep.py:2(<module>)
        2    0.001    0.001    0.049    0.025 dh.py:5(<module>)
       10    0.001    0.000    0.001    0.000 warnings.py:181(_add_filter)
       16    0.001    0.000    0.002    0.000 core.py:2822(parseImpl)
       31    0.001    0.000    0.002    0.000 ipaddress.py:1707(_parse_hextet)
        1    0.001    0.001    0.016    0.016 adapters.py:3(<module>)
        1    0.001    0.001    0.051    0.051 http.py:15(<module>)
        1    0.001    0.001    0.078    0.078 sbcsgroupprober.py:29(<module>)
        1    0.001    0.001    0.001    0.001 cookies.py:165(<dictcomp>)
       37    0.001    0.000    0.003    0.000 enum.py:391(__getattr__)
      165    0.001    0.000    0.001    0.000 enum.py:527(<lambda>)
        1    0.001    0.001    0.001    0.001 ec.py:343(EllipticCurvePublicNumbers)
      157    0.001    0.000    0.001    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.001    0.001    0.018    0.018 client.py:479(readinto)
        1    0.001    0.001    0.737    0.737 client.py:1(<module>)
       76    0.001    0.000    0.001    0.000 six.py:880(add_metaclass)
       85    0.001    0.000    0.001    0.000 enum.py:414(<genexpr>)
       29    0.001    0.000    0.003    0.000 core.py:2983(_generateDefaultName)
       49    0.001    0.000    0.003    0.000 re.py:270(escape)
      195    0.001    0.000    0.001    0.000 {method 'pop' of 'collections.deque' objects}
     10/3    0.001    0.000    0.030    0.010 unicode.py:14(__get__)
      136    0.001    0.000    0.001    0.000 __init__.py:419(<genexpr>)
       76    0.001    0.000    0.001    0.000 {method 'copy' of 'mappingproxy' objects}
        4    0.001    0.000    0.300    0.075 characters.py:16(conv)
        1    0.001    0.001    0.017    0.017 parse.py:1(<module>)
        8    0.001    0.000    0.002    0.000 parse.py:198(_hostinfo)
        1    0.001    0.001    0.012    0.012 interfaces.py:5(<module>)
       30    0.001    0.000    0.007    0.000 getlimits.py:40(<lambda>)
        2    0.001    0.001    0.012    0.006 structures.py:82(copy)
      122    0.001    0.000    0.001    0.000 core.py:3803(<genexpr>)
       19    0.001    0.000    0.005    0.000 ocsp.py:32(_requires_successful_response)
        9    0.001    0.000    0.001    0.000 _collections_abc.py:801(__init__)
        1    0.001    0.001    0.913    0.913 ssl_.py:1(<module>)
       78    0.001    0.000    0.001    0.000 overrides.py:94(set_module)
        2    0.001    0.001    0.063    0.032 decoder.py:1(<module>)
        7    0.001    0.000    0.002    0.000 template.py:110(replace_all)
      186    0.001    0.000    0.001    0.000 util.py:196(escape_re_range_char)
       15    0.001    0.000    0.060    0.004 core.py:2793(_generateDefaultName)
        2    0.001    0.001    0.576    0.288 ssl.py:1302(do_handshake)
        1    0.001    0.001    0.015    0.015 random.py:1(<module>)
       69    0.001    0.000    0.008    0.000 status_codes.py:120(<genexpr>)
       86    0.001    0.000    0.001    0.000 core.py:1870(streamline)
       15    0.001    0.000    0.004    0.000 arrayprint.py:1473(_array_str_implementation)
        4    0.001    0.000    0.013    0.003 _strptime.py:238(pattern)
       18    0.001    0.000    0.009    0.001 core.py:998(__init__)
       20    0.001    0.000    0.059    0.003 core.py:2794(charsAsStr)
        2    0.001    0.001    0.001    0.001 socket.py:503(detach)
       78    0.001    0.000    0.003    0.000 _internal.py:792(<genexpr>)
        2    0.001    0.001    0.072    0.036 parameters.py:2(<module>)
       23    0.001    0.000    0.050    0.002 overrides.py:206(decorator)
       12    0.001    0.000    0.002    0.000 posixpath.py:71(join)
        1    0.001    0.001    0.061    0.061 general_name.py:5(<module>)
        1    0.001    0.001    0.004    0.004 getlimits.py:1(<module>)
       16    0.001    0.000    0.002    0.000 _type_aliases.py:65(_bits_of)
        7    0.001    0.000    0.001    0.000 variable.py:122(<listcomp>)
        1    0.001    0.001    0.039    0.039 models.py:358(prepare_url)
        1    0.001    0.001    0.008    0.008 algorithms.py:5(<module>)
        1    0.001    0.001    0.020    0.020 connectionpool.py:968(_new_conn)
       12    0.001    0.000    0.001    0.000 google_auth_httplib2.py:214(<genexpr>)
        2    0.001    0.001    0.026    0.013 errors.py:2(<module>)
        4    0.001    0.000    0.001    0.000 {method 'split' of 're.Pattern' objects}
        1    0.001    0.001    0.050    0.050 signal.py:1(<module>)
       22    0.001    0.000    0.009    0.000 core.py:4948(__init__)
    21/20    0.001    0.000    0.018    0.001 <frozen importlib._bootstrap>:757(create_module)
        3    0.001    0.000    0.001    0.000 {built-in method io.open}
        1    0.001    0.001    0.028    0.028 sessions.py:362(__init__)
       13    0.001    0.000    0.003    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        6    0.001    0.000    0.067    0.011 client.py:716(getheaders)
       96    0.001    0.000    0.002    0.000 typing.py:911(__eq__)
        1    0.001    0.001    0.097    0.097 cookies.py:39(<module>)
       30    0.001    0.000    0.014    0.000 core.py:5368(__init__)
        1    0.001    0.001    0.051    0.051 pathlib.py:1(<module>)
    82/80    0.001    0.000    0.002    0.000 results.py:159(__init__)
        2    0.001    0.001    0.007    0.003 cookiejar.py:1596(make_cookies)
        1    0.001    0.001    0.018    0.018 __init__.py:5(HTTPStatus)
        7    0.001    0.000    0.084    0.012 message.py:451(items)
       78    0.001    0.000    0.001    0.000 overrides.py:105(decorator)
       21    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
       25    0.001    0.000    0.001    0.000 ipaddress.py:476(_prefix_from_prefix_string)
       30    0.001    0.000    0.001    0.000 _type_aliases.py:231(_add_array_type)
        7    0.001    0.000    0.001    0.000 socket.py:678(__init__)
        1    0.001    0.001    0.028    0.028 financial.py:1(<module>)
       17    0.001    0.000    0.142    0.008 core.py:1528(__or__)
        1    0.001    0.001    0.076    0.076 scimath.py:1(<module>)
        1    0.001    0.001    0.007    0.007 threading.py:1(<module>)
        1    0.001    0.001    0.001    0.001 os.py:48(<listcomp>)
        1    0.001    0.001    0.865    0.865 exceptions.py:1(<module>)
       59    0.001    0.000    0.002    0.000 _inspect.py:144(<lambda>)
       12    0.001    0.000    0.001    0.000 {method 'draw_ink' of 'ImagingDraw' objects}
       20    0.001    0.000    0.007    0.000 ipaddress.py:1175(_ip_int_from_string)
        1    0.001    0.001    0.056    0.056 connection.py:38(create_connection)
        1    0.001    0.001    0.048    0.048 ElementTree.py:1(<module>)
      125    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
       14    0.001    0.000    0.004    0.000 contextlib.py:215(contextmanager)
       55    0.001    0.000    0.001    0.000 __init__.py:767(__init__)
      165    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_iscased}
        3    0.001    0.000    0.010    0.003 url.py:297(<listcomp>)
        2    0.001    0.000    0.002    0.001 poolmanager.py:170(__init__)
        4    0.001    0.000    0.005    0.001 Image.py:2728(fromarray)
        1    0.001    0.001    0.005    0.005 response.py:195(__init__)
        1    0.001    0.001    0.051    0.051 chardistribution.py:28(<module>)
       11    0.001    0.000    0.001    0.000 queue.py:18(_put)
       19    0.001    0.000    0.002    0.000 ipaddress.py:1149(_make_netmask)
       15    0.001    0.000    0.001    0.000 arrayprint.py:1466(_guarded_repr_or_str)
        4    0.001    0.000    0.044    0.011 ImageFont.py:160(__init__)
       17    0.001    0.000    0.002    0.000 sre_parse.py:258(getwhile)
        7    0.001    0.000    0.508    0.073 feedparser.py:173(feed)
        6    0.001    0.000    0.001    0.000 {function HTTPResponse.flush at 0xb6415f58}
        1    0.001    0.001    0.077    0.077 resources.py:1(<module>)
        6    0.001    0.000    0.001    0.000 gzip.py:98(prepend)
        2    0.001    0.000    0.001    0.000 {method 'getpeername' of '_socket.socket' objects}
        1    0.001    0.001    0.011    0.011 poolmanager.py:1(<module>)
       21    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
        3    0.001    0.000    0.007    0.002 cookies.py:508(cookiejar_from_dict)
        6    0.001    0.000    0.001    0.000 http.py:79(_should_retry_response)
        7    0.001    0.000    0.001    0.000 client.py:1182(_encode_request)
        6    0.001    0.000    0.017    0.003 core.py:1439(__mul__)
        6    0.001    0.000    0.002    0.000 ImageDraw.py:312(getink)
        2    0.001    0.000    0.020    0.010 utils.py:2(<module>)
       38    0.001    0.000    0.001    0.000 traceback.py:272(__getitem__)
       32    0.001    0.000    0.001    0.000 exceptions.py:24(__init__)
      123    0.001    0.000    0.001    0.000 enum.py:763(value)
       29    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
       14    0.001    0.000    0.018    0.001 typing.py:863(__getitem__)
        1    0.001    0.001    0.002    0.002 fields.py:74(<dictcomp>)
       14    0.001    0.000    0.001    0.000 {method '__exit__' of 'memoryview' objects}
        6    0.001    0.000    0.004    0.001 message.py:423(__contains__)
       11    0.001    0.000    0.001    0.000 {method 'split' of 'bytes' objects}
        7    0.001    0.000    0.001    0.000 {method 'write' of '_io.StringIO' objects}
        1    0.001    0.001  108.656  108.656 main.py:1(<module>)
        1    0.001    0.001    0.019    0.019 pre_configured.py:2(<module>)
       26    0.001    0.000    0.019    0.001 core.py:6750(__init__)
        1    0.001    0.001    0.001    0.001 umath.py:1(<module>)
        1    0.001    0.001    0.313    0.313 ssl_.py:481(_ssl_wrap_socket_impl)
        2    0.001    0.000    0.061    0.030 authorization.py:2(<module>)
        1    0.001    0.001    0.008    0.008 zipfile.py:1(<module>)
        1    0.001    0.001    3.258    3.258 sessions.py:470(request)
       18    0.001    0.000    0.017    0.001 url.py:413(ensure_type)
        1    0.001    0.001    0.001    0.001 _strptime.py:107(__calc_date_time)
        1    0.001    0.001    0.001    0.001 client.py:787(_get_content_length)
        1    0.001    0.001    0.021    0.021 ipaddress.py:2247(_IPv6Constants)
        1    0.001    0.001    3.425    3.425 api.py:16(request)
        6    0.001    0.000    0.001    0.000 model.py:187(_log_response)
        1    0.001    0.001    0.002    0.002 _type_aliases.py:239(_set_array_types)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
        8    0.001    0.000    0.017    0.002 __init__.py:1420(debug)
        1    0.001    0.001    0.006    0.006 __init__.py:916(proxy_info_from_environment)
       36    0.001    0.000    0.004    0.000 getlimits.py:39(<lambda>)
       18    0.001    0.000    0.002    0.000 Image.py:2580(_check_size)
        1    0.001    0.001    0.091    0.091 metadata.py:2(<module>)
       39    0.001    0.000    0.005    0.000 core.py:4148(<genexpr>)
        1    0.001    0.001    0.002    0.002 _ufunc_config.py:1(<module>)
       97    0.001    0.000    0.001    0.000 core.py:5713(<genexpr>)
        1    0.001    0.001    0.212    0.212 platform.py:3(<module>)
        1    0.001    0.001    0.015    0.015 queue.py:34(__init__)
        1    0.001    0.001    0.004    0.004 calendar.py:1(<module>)
       13    0.001    0.000    0.005    0.000 _collections_abc.py:766(__contains__)
        1    0.001    0.001    0.002    0.002 backend.py:167(Backend)
        7    0.001    0.000    0.002    0.000 discovery.py:1452(_add_nested_resources)
        2    0.001    0.000    0.001    0.000 {function socket.close at 0xb6456028}
        7    0.001    0.000    0.001    0.000 feedparser.py:210(_pop_message)
        2    0.001    0.000    0.001    0.000 connection.py:232(<genexpr>)
        1    0.001    0.001    0.012    0.012 _methods.py:1(<module>)
        1    0.001    0.001    0.285    0.285 universaldetector.py:28(<module>)
        1    0.001    0.001    0.036    0.036 adapters.py:255(build_response)
        1    0.001    0.001    0.113    0.113 _pickle.py:1(<module>)
        1    0.001    0.001    0.302    0.302 _internal.py:1(<module>)
