Press CTRL-C to stop.
         495696 function calls (481712 primitive calls) in 108.600 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      227    0.062    0.000    0.062    0.000 {built-in method builtins.sorted}
      368    0.061    0.000    0.381    0.001 inspect.py:2244(_signature_from_callable)
        6    0.061    0.010    0.306    0.051 client.py:567(_readall_chunked)
       73    0.060    0.001    0.078    0.001 discovery.py:1521(_findPageTokenName)
     7654    0.060    0.000    0.060    0.000 {built-in method builtins.ord}
       47    0.059    0.001    0.102    0.002 client.py:1211(putheader)
        6    0.057    0.010    0.057    0.010 {method 'getsize' of 'Font' objects}
      954    0.057    0.000    0.072    0.000 <frozen importlib._bootstrap>:112(release)
     4801    0.057    0.000    0.057    0.000 {method 'startswith' of 'str' objects}
        6    0.057    0.009    0.389    0.065 discovery.py:1014(method)
     3072    0.055    0.000    0.069    0.000 util.py:185(is_consecutive)
      612    0.055    0.000    0.065    0.000 _inspect.py:65(getargs)
     1368    0.055    0.000    0.055    0.000 {method 'isalpha' of 'str' objects}
   106/85    0.054    0.001    1.590    0.019 schema.py:85(_prettyPrintByName)
      174    0.054    0.000    0.062    0.000 schema.py:209(emitBegin)
       95    0.054    0.001    0.150    0.002 _collections_abc.py:848(__iter__)
      487    0.053    0.000    0.672    0.001 <frozen importlib._bootstrap_external>:585(_compile_bytecode)
       62    0.053    0.001    0.234    0.004 discovery.py:837(_fix_up_method_description)
     4585    0.053    0.000    0.080    0.000 {built-in method builtins.setattr}
     4424    0.053    0.000    0.088    0.000 sre_parse.py:249(match)
      162    0.052    0.000    0.076    0.000 client.py:605(_safe_read)
      117    0.052    0.000    0.084    0.001 feedparser.py:128(__next__)
      812    0.052    0.000    0.093    0.000 inspect.py:2515(__init__)
      507    0.052    0.000    0.124    0.000 enum.py:88(__setitem__)
  455/131    0.051    0.000    1.226    0.009 sre_parse.py:435(_parse_sub)
       62    0.050    0.001    0.063    0.001 discovery.py:796(_fix_up_media_upload)
     1181    0.049    0.000    0.241    0.000 enum.py:334(__call__)
        6    0.049    0.008    0.064    0.011 gzip.py:133(__init__)
      368    0.047    0.000    0.099    0.000 inspect.py:2905(_hash_basis)
      401    0.046    0.000    0.080    0.000 functools.py:35(update_wrapper)
       19    0.045    0.002    0.116    0.006 parse.py:434(urlsplit)
       29    0.045    0.002    0.180    0.006 schema.py:115(prettyPrintByName)
      416    0.044    0.000    0.137    0.000 copy.py:66(copy)
      103    0.044    0.000    0.049    0.000 os.py:754(encode)
        7    0.044    0.006    0.044    0.006 {method 'decompress' of 'zlib.Decompress' objects}
     4844    0.043    0.000    0.043    0.000 {method 'rpartition' of 'str' objects}
      158    0.043    0.000    0.043    0.000 {method 'finditer' of 're.Pattern' objects}
     2341    0.042    0.000    0.293    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
       87    0.042    0.000    0.201    0.002 client.py:543(_get_chunk_left)
        5    0.042    0.008    0.051    0.010 url.py:210(_encode_invalid_chars)
        7    0.042    0.006    0.042    0.006 {method 'write' of '_ssl._SSLSocket' objects}
      490    0.042    0.000    0.042    0.000 {method '__exit__' of '_io._IOBase' objects}
      110    0.041    0.000    0.041    0.000 {built-in method numpy.array}
      517    0.041    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:636(spec_from_file_location)
       15    0.041    0.003    0.057    0.004 parse.py:901(<listcomp>)
      987    0.041    0.000    0.041    0.000 {method 'format' of 'str' objects}
    75/57    0.040    0.001    7.869    0.138 schema.py:303(to_str)
        1    0.040    0.040    0.040    0.040 models.py:838(text)
       87    0.040    0.000    0.116    0.001 client.py:513(_read_next_chunk_size)
   487/16    0.039    0.000   11.037    0.690 <frozen importlib._bootstrap_external>:784(exec_module)
       60    0.039    0.001    0.107    0.002 parse.py:881(quote_from_bytes)
       52    0.039    0.001    0.135    0.003 parse.py:864(quote_plus)
     1461    0.038    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
        7    0.038    0.005    3.733    0.533 client.py:300(begin)
       62    0.038    0.001    0.235    0.004 discovery.py:1196(<listcomp>)
       56    0.038    0.001    8.020    0.143 schema.py:146(prettyPrintSchema)
        6    0.038    0.006    8.719    1.453 __init__.py:1496(request)
        7    0.038    0.005    0.376    0.054 client.py:1257(_send_request)
      282    0.038    0.000    0.038    0.000 {method 'match' of 're.Pattern' objects}
      368    0.038    0.000    0.058    0.000 inspect.py:2798(__init__)
      600    0.037    0.000    0.043    0.000 enum.py:438(__setattr__)
        5    0.037    0.007    0.058    0.012 connection.py:216(putheader)
    805/1    0.036    0.000  108.656  108.656 {built-in method builtins.exec}
      286    0.035    0.000    0.162    0.001 overrides.py:72(verify_matching_signatures)
      160    0.035    0.000    0.046    0.000 schema.py:227(<listcomp>)
        1    0.035    0.035    0.042    0.042 ssl.py:371(match_hostname)
      316    0.034    0.000    0.804    0.003 overrides.py:166(decorator)
       16    0.034    0.002    0.034    0.002 {built-in method PIL._imaging.fill}
        6    0.034    0.006    8.814    1.469 http.py:149(_retry_request)
        8    0.034    0.004    0.036    0.005 parse.py:408(_splitnetloc)
        8    0.034    0.004    0.034    0.004 decoder.py:343(raw_decode)
      262    0.034    0.000    2.072    0.008 re.py:289(_compile)
     1957    0.032    0.000    0.032    0.000 {method 'find' of 'bytearray' objects}
     1926    0.032    0.000    0.042    0.000 sre_parse.py:172(append)
    30/25    0.032    0.001    0.217    0.009 {built-in method _imp.exec_dynamic}
      167    0.032    0.000    0.565    0.003 utils.py:102(verify_interface)
  519/157    0.032    0.000    7.939    0.051 <frozen importlib._bootstrap>:1033(_handle_fromlist)
  542/539    0.032    0.000    0.629    0.001 <frozen importlib._bootstrap>:558(module_from_spec)
     2748    0.031    0.000    0.043    0.000 sre_parse.py:160(__len__)
       12    0.031    0.003    0.104    0.009 gzip.py:462(read)
        7    0.031    0.004    0.160    0.023 discovery.py:1489(_add_next_methods)
        1    0.031    0.031   97.589   97.589 main.py:26(main)
     2583    0.030    0.000    0.030    0.000 {built-in method builtins.min}
        6    0.030    0.005    0.045    0.008 credentials.py:115(before_request)
       62    0.030    0.000    5.159    0.083 discovery.py:927(__init__)
       28    0.030    0.001    0.086    0.003 message.py:564(get_content_type)
      117    0.030    0.000    0.032    0.000 feedparser.py:78(readline)
      487    0.030    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:500(_classify_pyc)
        1    0.030    0.030    0.030    0.030 client.py:885(set_debuglevel)
      688    0.030    0.000    0.041    0.000 <frozen importlib._bootstrap>:58(__init__)
      688    0.029    0.000    0.042    0.000 <frozen importlib._bootstrap>:185(cb)
     1046    0.029    0.000    0.271    0.000 abc.py:96(__instancecheck__)
      616    0.029    0.000    0.118    0.000 _inspect.py:96(getargspec)
     1797    0.029    0.000    0.037    0.000 sre_parse.py:286(tell)
       43    0.028    0.001    0.028    0.001 schema.py:237(undent)
        1    0.028    0.028    0.057    0.057 ssl.py:1120(getpeercert)
      205    0.028    0.000    2.968    0.014 {method 'readline' of '_io.BufferedReader' objects}
        1    0.028    0.028    0.028    0.028 {method 'getpeercert' of '_ssl._SSLSocket' objects}
       34    0.028    0.001    9.457    0.278 __init__.py:1(<module>)
      139    0.028    0.000    0.033    0.000 utils.py:51(_has_surrogates)
        7    0.027    0.004    0.035    0.005 feedparser.py:101(push)
        6    0.027    0.005    0.103    0.017 __init__.py:1749(__init__)
       82    0.027    0.000    0.029    0.000 discovery.py:1356(_set_dynamic_attr)
   441/50    0.027    0.000    9.626    0.193 {built-in method builtins.__import__}
      974    0.027    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
        1    0.027    0.027    0.027    0.027 ssl.py:1372(version)
     1016    0.026    0.000    0.026    0.000 {method 'lower' of 'str' objects}
       62    0.026    0.000    0.038    0.001 discovery.py:1536(_methodProperties)
        7    0.026    0.004    0.165    0.024 parse.py:903(urlencode)
      211    0.026    0.000    0.026    0.000 {built-in method _abc._abc_init}
      138    0.026    0.000    0.081    0.001 _policybase.py:311(header_fetch_parse)
       96    0.026    0.000    0.029    0.000 message.py:479(set_raw)
       13    0.026    0.002    0.088    0.007 enum.py:521(<listcomp>)
  509/500    0.026    0.000    0.030    0.000 {method 'encode' of 'str' objects}
      416    0.026    0.000    0.163    0.000 core.py:501(copy)
     1167    0.025    0.000    0.034    0.000 <frozen importlib._bootstrap>:398(parent)
       46    0.025    0.001    0.043    0.001 socket.py:99(_intenum_converter)
       97    0.025    0.000    0.080    0.001 os.py:674(__getitem__)
        7    0.025    0.004    0.097    0.014 client.py:1001(_send_output)
      910    0.025    0.000    0.025    0.000 {method 'update' of 'dict' objects}
     1115    0.025    0.000    0.103    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
       44    0.025    0.001    0.027    0.001 parse.py:111(_coerce_args)
        1    0.025    0.025    0.037    0.037 helpers.py:689(<dictcomp>)
